Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
89,Reinaldo Lenis\Reinaldo-Lenis,co COL,MF,Banfield,27,1992,12,10,912,4,0,0,0,2,0,0.39,0.00,0.39,0.39,0.39,Matches
90,Jonás Gutiérrez\Jonas-Gutierrez,ar ARG,MF,Banfield,36,1983,8,1,152,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
91,Luciano Gómez\Luciano-Gomez,ar ARG,DFMF,Banfield,23,1996,20,19,1607,1,1,0,0,6,0,0.06,0.06,0.11,0.06,0.11,Matches
92,Giuliano Galoppo\Giuliano-Galoppo,ar ARG,MF,Banfield,20,1999,4,0,17,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
93,Agustín Fontana\Agustin-Fontana,ar ARG,FW,Banfield,23,1996,11,2,349,1,0,0,0,2,0,0.26,0.00,0.26,0.26,0.26,Matches
94,Sebastián Dubarbier\Sebastian-Dubarbier,ar ARG,DFMF,Banfield,33,1986,8,4,315,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
95,Jesús Dátolo\Jesus-Datolo,ar ARG,MF,Banfield,35,1984,14,12,1020,3,4,1,2,2,0,0.26,0.35,0.62,0.18,0.53,Matches
96,Israel Damonte\Israel-Damonte,ar ARG,MF,Banfield,37,1982,4,1,112,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
97,Emanuel Coronel\Emanuel-Coronel,ar ARG,DF,Banfield,22,1997,2,2,180,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
98,Esteban Conde\Esteban-Conde,uy URU,GK,Banfield,36,1983,10,10,900,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
99,Renato Civelli\Renato-Civelli,ar ARG,DF,Banfield,35,1983,18,15,1340,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
100,Julián Carranza\Julian-Carranza,ar ARG,FW,Banfield,19,2000,11,9,824,2,1,1,1,6,0,0.22,0.11,0.33,0.11,0.22,Matches
101,Claudio Bravo\Claudio-Bravo,ar ARG,DF,Banfield,22,1997,17,17,1521,0,1,0,0,8,0,0.00,0.06,0.06,0.00,0.06,Matches
102,Fabián Bordagaray\Fabian-Bordagaray,ar ARG,FW,Banfield,32,1987,1,0,8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
103,Nicolás Bertolo\Nicolas-Bertolo,ar ARG,MF,Banfield,33,1986,19,14,1251,1,1,1,2,3,0,0.07,0.07,0.14,0.00,0.07,Matches
104,Junior Arias\Junior-Arias,uy URU,FW,Banfield,26,1993,18,16,1279,2,1,0,0,2,0,0.14,0.07,0.21,0.14,0.21,Matches
105,Rodrigo Arciero\Rodrigo-Arciero,ar ARG,DF,Banfield,26,1993,8,7,603,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
106,Iván Arboleda\Ivan-Arboleda,co COL,GK,Banfield,23,1996,13,13,1170,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
107,Juan Álvarez\Juan-Alvarez,ar ARG,MFFW,Banfield,,,11,9,756,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
108,Jorge Agustín Rodríguez\Jorge-Agustin-Rodriguez,ar ARG,MF,Banfield,23,1995,22,22,1952,1,2,0,0,2,0,0.05,0.09,0.14,0.05,0.14,Matches
109,Franco Quinteros\Franco-Quinteros,ar ARG,DF,Banfield,20,1998,3,2,253,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
110,Mauro Zárate\Mauro-Zarate,ar ARG,MFFW,Boca Juniors,32,1987,12,5,485,2,2,0,0,1,0,0.37,0.37,0.74,0.37,0.74,Matches
111,Carlos Zambrano\Carlos-Zambrano,pe PER,DF,Boca Juniors,30,1989,1,1,67,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
112,Marcelo Weigandt\Marcelo-Weigandt,ar ARG,DF,Boca Juniors,19,2000,3,3,270,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
113,Sebastián Villa\Sebastian-Villa,co COL,MF,Boca Juniors,23,1996,17,13,1151,2,3,0,0,1,1,0.16,0.23,0.39,0.16,0.39,Matches
114,Carlos Tevez\Carlos-Tevez,ar ARG,FWMF,Boca Juniors,35,1984,17,11,1054,9,2,0,1,2,0,0.77,0.17,0.94,0.77,0.94,Matches
115,Franco Soldano\Franco-Soldano,ar ARG,FW,Boca Juniors,24,1994,13,12,1016,2,2,0,1,1,0,0.18,0.18,0.35,0.18,0.35,Matches
116,Eduardo Salvio\Eduardo-Salvio,ar ARG,MF,Boca Juniors,29,1990,17,12,1112,6,3,0,0,1,0,0.49,0.24,0.73,0.49,0.73,Matches
117,Emanuel Reinoso\Emanuel-Reinoso,ar ARG,MF,Boca Juniors,36,1983,18,9,897,1,3,0,0,4,0,0.10,0.30,0.40,0.10,0.40,Matches
118,Agustín Obando\Agustin-Obando,ar ARG,MF,Boca Juniors,19,2000,11,7,528,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
119,Guillermo Matías Fernández\Guillermo-Matias-Fernandez,ar ARG,MF,Boca Juniors,27,1991,7,7,586,1,1,0,0,2,0,0.15,0.15,0.31,0.15,0.31,Matches
120,Emmanuel Más\Emmanuel-Mas,ar ARG,DF,Boca Juniors,30,1989,5,5,442,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
121,Iván Marcone\Ivan-Marcone,ar ARG,MF,Boca Juniors,29,1990,14,12,1121,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
122,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MF,Boca Juniors,20,1998,13,9,708,1,1,0,0,1,0,0.13,0.13,0.25,0.13,0.25,Matches
123,Lisandro López\Lisandro-Lopez,ar ARG,DF,Boca Juniors,29,1989,14,13,1111,1,1,0,0,3,0,0.08,0.08,0.16,0.08,0.16,Matches
124,Carlos Izquierdoz\Carlos-Izquierdoz,ar ARG,DF,Boca Juniors,30,1988,17,17,1450,1,0,0,0,9,2,0.06,0.00,0.06,0.06,0.06,Matches
125,Marcos Guillermo Díaz\Marcos-Guillermo-Diaz,ar ARG,GK,Boca Juniors,33,1986,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
126,Paolo Goltz\Paolo-Goltz,ar ARG,DF,Boca Juniors,34,1985,4,4,360,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
127,Frank Fabra\Frank-Fabra,co COL,DF,Boca Juniors,28,1991,18,18,1582,2,2,0,0,7,1,0.11,0.11,0.23,0.11,0.23,Matches
